# SYNTHETIC SAMPLE DATA -- NOT REAL TCMB/TUIK STATISTICS.
# Generated deterministically for offline tests and CI. See data/sample/README.md.
period,value
2019-01,404.80
2019-02,410.32
2019-03,416.43
2019-04,422.85
2019-05,429.26
2019-06,435.36
2019-07,440.95
2019-08,446.01
2019-09,450.71
2019-10,455.34
2019-11,460.26
2019-12,465.81
2020-01,472.18
2020-02,479.42
2020-03,487.37
2020-04,495.71
2020-05,504.06
2020-06,512.07
2020-07,519.52
2020-08,526.36
2020-09,532.79
2020-10,539.16
2020-11,545.90
2020-12,553.40
2021-01,561.91
2021-02,571.48
2021-03,581.91
2021-04,592.86
2021-05,603.85
2021-06,614.47
2021-07,624.44
2021-08,633.72
2021-09,642.53
2021-10,651.30
2021-11,660.55
2021-12,670.74
2022-01,682.19
2022-02,694.95
2022-03,708.82
2022-04,723.34
2022-05,737.98
2022-06,752.20
2022-07,765.68
2022-08,778.35
2022-09,790.50
2022-10,802.62
2022-11,815.37
2022-12,829.33
2023-01,844.88
2023-02,862.12
2023-03,880.78
2023-04,900.32
2023-05,920.05
2023-06,939.34
2023-07,957.76
2023-08,975.23
2023-09,992.09
2023-10,1008.99
2023-11,1026.72
2023-12,1046.03
2024-01,1067.42
2024-02,1091.00
2024-03,1116.46
2024-04,1143.11
2024-05,1170.10
2024-06,1196.61
2024-07,1222.09
2024-08,1246.46
2024-09,1270.11
2024-10,1293.89
2024-11,1318.81
2024-12,1345.84
