# SYNTHETIC SAMPLE DATA -- NOT REAL TCMB/TUIK STATISTICS.
# Generated deterministically for offline tests and CI. See data/sample/README.md.
period,value
2019-01,22.00
2019-02,21.10
2019-03,20.20
2019-04,19.30
2019-05,18.40
2019-06,17.50
2019-07,16.60
2019-08,15.70
2019-09,14.80
2019-10,13.90
2019-11,13.00
2019-12,12.10
2020-01,11.00
2020-02,11.25
2020-03,11.50
2020-04,11.75
2020-05,12.00
2020-06,12.25
2020-07,12.50
2020-08,12.75
2020-09,13.00
2020-10,13.25
2020-11,13.50
2020-12,13.75
2021-01,14.00
2021-02,14.05
2021-03,14.10
2021-04,14.15
2021-05,14.20
2021-06,14.25
2021-07,14.30
2021-08,14.35
2021-09,14.40
2021-10,14.45
2021-11,14.50
2021-12,14.55
2022-01,14.50
2022-02,14.30
2022-03,14.10
2022-04,13.90
2022-05,13.70
2022-06,13.50
2022-07,13.30
2022-08,13.10
2022-09,12.90
2022-10,12.70
2022-11,12.50
2022-12,12.30
2023-01,12.00
2023-02,14.60
2023-03,17.20
2023-04,19.80
2023-05,22.40
2023-06,25.00
2023-07,27.60
2023-08,30.20
2023-09,32.80
2023-10,35.40
2023-11,38.00
2023-12,40.60
2024-01,43.00
2024-02,43.55
2024-03,44.10
2024-04,44.65
2024-05,45.20
2024-06,45.75
2024-07,46.30
2024-08,46.85
2024-09,47.40
2024-10,47.95
2024-11,48.50
2024-12,49.05
