# SYNTHETIC SAMPLE DATA -- NOT REAL TCMB/TUIK STATISTICS.
# Generated deterministically for offline tests and CI. See data/sample/README.md.
period,value
2019-01,5.5000
2019-02,5.6258
2019-03,5.7559
2019-04,5.8904
2019-05,6.0295
2019-06,6.1734
2019-07,6.3222
2019-08,6.4762
2019-09,6.6355
2019-10,6.8003
2019-11,6.9709
2019-12,7.1475
2020-01,7.3304
2020-02,7.5197
2020-03,7.7158
2020-04,7.9189
2020-05,8.1292
2020-06,8.3472
2020-07,8.5731
2020-08,8.8072
2020-09,9.0498
2020-10,9.3014
2020-11,9.5623
2020-12,9.8328
2021-01,10.1135
2021-02,10.4046
2021-03,10.7067
2021-04,11.0202
2021-05,11.3456
2021-06,11.6834
2021-07,12.0341
2021-08,12.3984
2021-09,12.7768
2021-10,13.1698
2021-11,13.5782
2021-12,14.0027
2022-01,14.4438
2022-02,14.9025
2022-03,15.3794
2022-04,15.8754
2022-05,16.3913
2022-06,16.9280
2022-07,17.4865
2022-08,18.0677
2022-09,18.6728
2022-10,19.3028
2022-11,19.9588
2022-12,20.6420
2023-01,21.3538
2023-02,22.0954
2023-03,22.8682
2023-04,23.6738
2023-05,24.5136
2023-06,25.3893
2023-07,26.3026
2023-08,27.2553
2023-09,28.2493
2023-10,29.2865
2023-11,30.3692
2023-12,31.4994
2024-01,32.6795
2024-02,33.9120
2024-03,35.1994
2024-04,36.5444
2024-05,37.9499
2024-06,39.4190
2024-07,40.9548
2024-08,42.5606
2024-09,44.2399
2024-10,45.9966
2024-11,47.8345
2024-12,49.7578
